file,reason
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\15.wav,Invalid duration: 0.37s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\15.wav,Invalid duration: 0.44s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\1.wav,Invalid duration: 0.41s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\21.wav,Invalid duration: 0.43s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\5.wav,Invalid duration: 0.48s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخ\6.wav,Invalid duration: 0.48s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اربعة\17.wav,Invalid duration: 0.40s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اربعة\2.wav,Invalid duration: 0.47s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اربعة\3.wav,Invalid duration: 0.39s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اربعة\4.wav,Invalid duration: 0.49s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اربعة\5.wav,Invalid duration: 0.43s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اشرب\10.wav,Invalid duration: 0.27s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اشرب\17.wav,Invalid duration: 0.50s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اشرب\26.wav,Invalid duration: 0.45s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اصفر\21.wav,Invalid duration: 0.37s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باب\16.wav,Invalid duration: 0.34s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باب\17.wav,Invalid duration: 0.49s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باب\18.wav,Invalid duration: 0.35s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باب\20.wav,Invalid duration: 0.38s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باب\6.wav,Invalid duration: 0.45s
