filename,word,speaker,quality,file_path,duration
17.wav,اثنين,هيفاء,جيد,data\clean\اثنين\17.wav,0.7029375
21.wav,اثنين,أسيل,ضعيف,data\clean\اثنين\21.wav,0.76625
18.wav,اثنين,هيفاء,جيد,data\clean\اثنين\18.wav,0.659
4.wav,اثنين,أحمد,ضعيف,data\clean\اثنين\4.wav,0.5143125
0.wav,اثنين,أحمد,ضعيف,data\clean\اثنين\0.wav,0.635125
2.wav,اثنين,أحمد,ضعيف,data\clean\اثنين\2.wav,0.597125
25.wav,اثنين,أسيل,ضعيف,data\clean\اثنين\25.wav,0.8599375
26.wav,اثنين,أسيل,ضعيف,data\clean\اثنين\26.wav,1.0015625
20.wav,اثنين,هيفاء,جيد,data\clean\اثنين\20.wav,0.6150625
7.wav,اثنين,عاصم,ممتاز,data\clean\اثنين\7.wav,0.7430625
1.wav,اثنين,أحمد,ضعيف,data\clean\اثنين\1.wav,0.7295625
12.wav,اثنين,عاصم,ممتاز,data\clean\اثنين\12.wav,1.1084375
14.wav,اثنين,هيفاء,جيد,data\clean\اثنين\14.wav,0.58575
10.wav,اثنين,عاصم,ممتاز,data\clean\اثنين\10.wav,0.945125
23.wav,اثنين,أسيل,ضعيف,data\clean\اثنين\23.wav,0.5910625
5.wav,اثنين,أحمد,ضعيف,data\clean\اثنين\5.wav,0.6040625
11.wav,اثنين,عاصم,ممتاز,data\clean\اثنين\11.wav,1.1373125
8.wav,اثنين,عاصم,ممتاز,data\clean\اثنين\8.wav,1.0200625
24.wav,احمر,أسيل,ضعيف,data\clean\احمر\24.wav,0.7628125
15.wav,احمر,هيفاء,جيد,data\clean\احمر\15.wav,0.4444375
21.wav,احمر,أسيل,ضعيف,data\clean\احمر\21.wav,0.83875
14.wav,احمر,هيفاء,جيد,data\clean\احمر\14.wav,0.87275
23.wav,احمر,أسيل,ضعيف,data\clean\احمر\23.wav,0.793875
16.wav,احمر,هيفاء,جيد,data\clean\احمر\16.wav,0.69175
25.wav,احمر,أسيل,ضعيف,data\clean\احمر\25.wav,1.1114375
5.wav,اخ,أحمد,ضعيف,data\clean\اخ\5.wav,0.48325
1.wav,اخ,أحمد,ضعيف,data\clean\اخ\1.wav,0.414875
24.wav,اخ,أسيل,ضعيف,data\clean\اخ\24.wav,0.6075
0.wav,اخ,أحمد,ضعيف,data\clean\اخ\0.wav,0.561375
4.wav,اخ,أحمد,ضعيف,data\clean\اخ\4.wav,0.6199375
2.wav,اخ,أحمد,ضعيف,data\clean\اخ\2.wav,0.693125
6.wav,اخ,أحمد,ضعيف,data\clean\اخ\6.wav,0.478375
1.wav,اخت,أحمد,ضعيف,data\clean\اخت\1.wav,0.93
2.wav,اخت,أحمد,ضعيف,data\clean\اخت\2.wav,0.9194375
24.wav,اخت,أسيل,ضعيف,data\clean\اخت\24.wav,1.1144375
21.wav,اخت,أسيل,ضعيف,data\clean\اخت\21.wav,0.6629375
23.wav,اخت,أسيل,ضعيف,data\clean\اخت\23.wav,1.0466875
