filename,word,speaker,quality,file_path,duration
1.wav,اثنين,أحمد,ضعيف,data\clean\اثنين\1.wav,0.7295625
5.wav,اثنين,أحمد,ضعيف,data\clean\اثنين\5.wav,0.6040625
2.wav,اثنين,أحمد,ضعيف,data\clean\اثنين\2.wav,0.597125
4.wav,اثنين,أحمد,ضعيف,data\clean\اثنين\4.wav,0.5143125
3.wav,اثنين,أحمد,ضعيف,data\clean\اثنين\3.wav,0.6385625
6.wav,اثنين,أحمد,ضعيف,data\clean\اثنين\6.wav,0.5660625
1.wav,اخ,أحمد,ضعيف,data\clean\اخ\1.wav,0.414875
5.wav,اخ,أحمد,ضعيف,data\clean\اخ\5.wav,0.48325
2.wav,اخ,أحمد,ضعيف,data\clean\اخ\2.wav,0.693125
4.wav,اخ,أحمد,ضعيف,data\clean\اخ\4.wav,0.6199375
3.wav,اخ,أحمد,ضعيف,data\clean\اخ\3.wav,0.766375
6.wav,اخ,أحمد,ضعيف,data\clean\اخ\6.wav,0.478375
2.wav,اخت,أحمد,ضعيف,data\clean\اخت\2.wav,0.9194375
3.wav,اخت,أحمد,ضعيف,data\clean\اخت\3.wav,0.964625
5.wav,اربعة,أحمد,ضعيف,data\clean\اربعة\5.wav,0.4266875
3.wav,اربعة,أحمد,ضعيف,data\clean\اربعة\3.wav,0.39475
1.wav,اربعة,أحمد,ضعيف,data\clean\اربعة\1.wav,0.7604375
4.wav,اربعة,أحمد,ضعيف,data\clean\اربعة\4.wav,0.4905
4.wav,اشرب,أحمد,ضعيف,data\clean\اشرب\4.wav,0.8145625
1.wav,اشرب,أحمد,ضعيف,data\clean\اشرب\1.wav,1.8776875
3.wav,اشرب,أحمد,ضعيف,data\clean\اشرب\3.wav,2.2505
2.wav,اصفر,أحمد,ضعيف,data\clean\اصفر\2.wav,1.0754375
6.wav,اصفر,أحمد,ضعيف,data\clean\اصفر\6.wav,0.964625
3.wav,اصفر,أحمد,ضعيف,data\clean\اصفر\3.wav,1.0303125
5.wav,اصفر,أحمد,ضعيف,data\clean\اصفر\5.wav,1.00975
4.wav,اصفر,أحمد,ضعيف,data\clean\اصفر\4.wav,0.6485625
2.wav,اكل,أحمد,ضعيف,data\clean\اكل\2.wav,0.9250625
6.wav,اكل,أحمد,ضعيف,data\clean\اكل\6.wav,0.84225
3.wav,اكل,أحمد,ضعيف,data\clean\اكل\3.wav,0.6765
5.wav,اكل,أحمد,ضعيف,data\clean\اكل\5.wav,0.759375
4.wav,اكل,أحمد,ضعيف,data\clean\اكل\4.wav,0.6765
1.wav,باب,أحمد,ضعيف,data\clean\باب\1.wav,0.862625
5.wav,باب,أحمد,ضعيف,data\clean\باب\5.wav,0.603
2.wav,باب,أحمد,ضعيف,data\clean\باب\2.wav,1.02975
4.wav,باب,أحمد,ضعيف,data\clean\باب\4.wav,0.665875
3.wav,باب,أحمد,ضعيف,data\clean\باب\3.wav,0.8659375
6.wav,باب,أحمد,ضعيف,data\clean\باب\6.wav,0.4468125
4.wav,بابا,أحمد,ضعيف,data\clean\بابا\4.wav,1.034375
0.wav,بابا,أحمد,ضعيف,data\clean\بابا\0.wav,0.7635
6.wav,بابا,أحمد,ضعيف,data\clean\بابا\6.wav,0.8004375
1.wav,بابا,أحمد,ضعيف,data\clean\بابا\1.wav,0.5171875
3.wav,بابا,أحمد,ضعيف,data\clean\بابا\3.wav,0.5951875
2.wav,بابا,أحمد,ضعيف,data\clean\بابا\2.wav,0.652625
5.wav,بابا,أحمد,ضعيف,data\clean\بابا\5.wav,0.7141875
1.wav,باص,أحمد,ضعيف,data\clean\باص\1.wav,1.0155625
5.wav,باص,أحمد,ضعيف,data\clean\باص\5.wav,0.9008125
2 .wav,باص,أحمد,ضعيف,data\clean\باص\2 .wav,1.115625
4.wav,باص,أحمد,ضعيف,data\clean\باص\4.wav,0.9473125
3.wav,باص,أحمد,ضعيف,data\clean\باص\3.wav,1.25025
0.wav,بسة,أحمد,ضعيف,data\clean\بسة\0.wav,0.882375
3.wav,بسة,أحمد,ضعيف,data\clean\بسة\3.wav,1.0220625
05.wav,بسة,أحمد,ضعيف,data\clean\بسة\05.wav,1.2074375
02.wav,بسة,أحمد,ضعيف,data\clean\بسة\02.wav,1.07975
01.wav,بسة,أحمد,ضعيف,data\clean\بسة\01.wav,1.0216875
6.wav,بسة,أحمد,ضعيف,data\clean\بسة\6.wav,1.0333125
04.wav,بسة,أحمد,ضعيف,data\clean\بسة\04.wav,1.3003125
2.wav,بسة,أحمد,ضعيف,data\clean\بسة\2.wav,0.7183125
03.wav,بسة,أحمد,ضعيف,data\clean\بسة\03.wav,1.253875
1.wav,بسة,أحمد,ضعيف,data\clean\بسة\1.wav,0.5376875
2.wav,بيت,أحمد,ضعيف,data\clean\بيت\2.wav,0.8359375
0.wav,بيت,أحمد,ضعيف,data\clean\بيت\0.wav,0.6269375
4.wav,بيت,أحمد,ضعيف,data\clean\بيت\4.wav,0.8243125
02.wav,بيت,أحمد,ضعيف,data\clean\بيت\02.wav,1.2886875
6.wav,بيت,أحمد,ضعيف,data\clean\بيت\6.wav,0.963625
1.wav,بيت,أحمد,ضعيف,data\clean\بيت\1.wav,0.8010625
03.wav,بيت,أحمد,ضعيف,data\clean\بيت\03.wav,0.952
3.wav,بيت,أحمد,ضعيف,data\clean\بيت\3.wav,0.6269375
0.wav,بيض,أحمد,ضعيف,data\clean\بيض\0.wav,0.5108125
5.wav,بيض,أحمد,ضعيف,data\clean\بيض\5.wav,0.7895
04.wav,بيض,أحمد,ضعيف,data\clean\بيض\04.wav,0.6269375
1.wav,بيض,أحمد,ضعيف,data\clean\بيض\1.wav,0.409
01.wav,بيض,أحمد,ضعيف,data\clean\بيض\01.wav,0.6385625
00.wav,بيض,أحمد,ضعيف,data\clean\بيض\00.wav,0.911375
6.wav,بيض,أحمد,ضعيف,data\clean\بيض\6.wav,0.5456875
03.wav,بيض,أحمد,ضعيف,data\clean\بيض\03.wav,0.6908125
06.wav,بيض,أحمد,ضعيف,data\clean\بيض\06.wav,0.5805
3.wav,بيض,أحمد,ضعيف,data\clean\بيض\3.wav,0.55725
02.wav,بيض,أحمد,ضعيف,data\clean\بيض\02.wav,0.3715
05.wav,بيض,أحمد,ضعيف,data\clean\بيض\05.wav,0.5746875
0.wav,تفاح,أحمد,ضعيف,data\clean\تفاح\0.wav,0.6501875
3.wav,تفاح,أحمد,ضعيف,data\clean\تفاح\3.wav,0.702375
05.wav,تفاح,أحمد,ضعيف,data\clean\تفاح\05.wav,0.7895
02.wav,تفاح,أحمد,ضعيف,data\clean\تفاح\02.wav,0.754625
01.wav,تفاح,أحمد,ضعيف,data\clean\تفاح\01.wav,0.412125
6.wav,تفاح,أحمد,ضعيف,data\clean\تفاح\6.wav,0.7895
04.wav,تفاح,أحمد,ضعيف,data\clean\تفاح\04.wav,0.7081875
2.wav,تفاح,أحمد,ضعيف,data\clean\تفاح\2.wav,0.8881875
03.wav,تفاح,أحمد,ضعيف,data\clean\تفاح\03.wav,0.8126875
1.wav,تفاح,أحمد,ضعيف,data\clean\تفاح\1.wav,0.830125
4.wav,تمر,أحمد,ضعيف,data\clean\تمر\4.wav,0.458625
1.wav,تمر,أحمد,ضعيف,data\clean\تمر\1.wav,0.63275
3.wav,تمر,أحمد,ضعيف,data\clean\تمر\3.wav,0.6269375
1.wav,ثلاثة,أحمد,ضعيف,data\clean\ثلاثة\1.wav,0.6281875
5.wav,ثلاثة,أحمد,ضعيف,data\clean\ثلاثة\5.wav,0.568875
2.wav,ثلاثة,أحمد,ضعيف,data\clean\ثلاثة\2.wav,0.8215
4.wav,ثلاثة,أحمد,ضعيف,data\clean\ثلاثة\4.wav,0.687875
3.wav,ثلاثة,أحمد,ضعيف,data\clean\ثلاثة\3.wav,0.5773125
6.wav,ثلاثة,أحمد,ضعيف,data\clean\ثلاثة\6.wav,0.7749375
4.wav,جا,أحمد,ضعيف,data\clean\جا\4.wav,0.2421875
2.wav,جا,أحمد,ضعيف,data\clean\جا\2.wav,0.882375
0.wav,جا,أحمد,ضعيف,data\clean\جا\0.wav,0.8359375
3.wav,جا,أحمد,ضعيف,data\clean\جا\3.wav,0.7895
4.wav,جبل,أحمد,ضعيف,data\clean\جبل\4.wav,0.8359375
0.wav,جبل,أحمد,ضعيف,data\clean\جبل\0.wav,0.859125
6.wav,جبل,أحمد,ضعيف,data\clean\جبل\6.wav,0.9055625
1.wav,جبل,أحمد,ضعيف,data\clean\جبل\1.wav,1.4976875
3.wav,جبل,أحمد,ضعيف,data\clean\جبل\3.wav,0.9171875
2.wav,جبل,أحمد,ضعيف,data\clean\جبل\2.wav,0.8939375
5.wav,جبل,أحمد,ضعيف,data\clean\جبل\5.wav,0.777875
4.wav,حافظ,أحمد,ضعيف,data\clean\حافظ\4.wav,1.0565
0.wav,حافظ,أحمد,ضعيف,data\clean\حافظ\0.wav,1.0565
6.wav,حافظ,أحمد,ضعيف,data\clean\حافظ\6.wav,1.13775
1.wav,حافظ,أحمد,ضعيف,data\clean\حافظ\1.wav,0.8010625
3.wav,حافظ,أحمد,ضعيف,data\clean\حافظ\3.wav,1.0100625
2.wav,حافظ,أحمد,ضعيف,data\clean\حافظ\2.wav,0.963625
5.wav,حافظ,أحمد,ضعيف,data\clean\حافظ\5.wav,0.9288125
