filename,word,speaker,quality,file_path,duration
22.wav,اثنين,أسيل,ضعيف,data\clean\اثنين\22.wav,1.29325
27.wav,اثنين,أسيل,ضعيف,data\clean\اثنين\27.wav,0.8306875
23.wav,اثنين,أسيل,ضعيف,data\clean\اثنين\23.wav,0.5910625
26.wav,اثنين,أسيل,ضعيف,data\clean\اثنين\26.wav,1.0015625
25.wav,اثنين,أسيل,ضعيف,data\clean\اثنين\25.wav,0.8599375
28.wav,اثنين,أسيل,ضعيف,data\clean\اثنين\28.wav,0.523875
25.wav,احمر,أسيل,ضعيف,data\clean\احمر\25.wav,1.1114375
23.wav,احمر,أسيل,ضعيف,data\clean\احمر\23.wav,0.793875
21.wav,احمر,أسيل,ضعيف,data\clean\احمر\21.wav,0.83875
24.wav,احمر,أسيل,ضعيف,data\clean\احمر\24.wav,0.7628125
22.wav,اخ,أسيل,ضعيف,data\clean\اخ\22.wav,0.79225
24.wav,اخ,أسيل,ضعيف,data\clean\اخ\24.wav,0.6075
24.wav,اخت,أسيل,ضعيف,data\clean\اخت\24.wav,1.1144375
21.wav,اخت,أسيل,ضعيف,data\clean\اخت\21.wav,0.6629375
23.wav,اخت,أسيل,ضعيف,data\clean\اخت\23.wav,1.0466875
22.wav,اخضر,أسيل,ضعيف,data\clean\اخضر\22.wav,1.0355
26.wav,اخضر,أسيل,ضعيف,data\clean\اخضر\26.wav,1.0493125
23.wav,اخضر,أسيل,ضعيف,data\clean\اخضر\23.wav,0.98375
25.wav,اخضر,أسيل,ضعيف,data\clean\اخضر\25.wav,1.0561875
24.wav,اخضر,أسيل,ضعيف,data\clean\اخضر\24.wav,0.845625
22.wav,اربعة,أسيل,ضعيف,data\clean\اربعة\22.wav,0.8296875
26.wav,اربعة,أسيل,ضعيف,data\clean\اربعة\26.wav,0.5649375
23.wav,اربعة,أسيل,ضعيف,data\clean\اربعة\23.wav,0.837875
25.wav,اربعة,أسيل,ضعيف,data\clean\اربعة\25.wav,0.6546875
24.wav,اربعة,أسيل,ضعيف,data\clean\اربعة\24.wav,0.6500625
22.wav,ازرق,أسيل,ضعيف,data\clean\ازرق\22.wav,0.90775
26.wav,ازرق,أسيل,ضعيف,data\clean\ازرق\26.wav,1.10975
23.wav,ازرق,أسيل,ضعيف,data\clean\ازرق\23.wav,1.1994375
25.wav,ازرق,أسيل,ضعيف,data\clean\ازرق\25.wav,0.875
24.wav,ازرق,أسيل,ضعيف,data\clean\ازرق\24.wav,1.542875
22.wav,استاذة,أسيل,ضعيف,data\clean\استاذة\22.wav,0.742125
26.wav,استاذة,أسيل,ضعيف,data\clean\استاذة\26.wav,0.724875
23.wav,استاذة,أسيل,ضعيف,data\clean\استاذة\23.wav,0.8008125
25.wav,استاذة,أسيل,ضعيف,data\clean\استاذة\25.wav,0.831875
24.wav,استاذة,أسيل,ضعيف,data\clean\استاذة\24.wav,0.9871875
25.wav,اسد,أسيل,ضعيف,data\clean\اسد\25.wav,0.797375
23.wav,اسد,أسيل,ضعيف,data\clean\اسد\23.wav,0.8595
