filename,word,speaker,quality,file_path,duration
15.wav,اثنين,هيفاء,جيد,data\clean\اثنين\15.wav,0.366125
19.wav,اثنين,هيفاء,جيد,data\clean\اثنين\19.wav,0.56625
16.wav,اثنين,هيفاء,جيد,data\clean\اثنين\16.wav,0.785875
18.wav,اثنين,هيفاء,جيد,data\clean\اثنين\18.wav,0.659
17.wav,اثنين,هيفاء,جيد,data\clean\اثنين\17.wav,0.7029375
20.wav,اثنين,هيفاء,جيد,data\clean\اثنين\20.wav,0.6150625
18.wav,احمر,هيفاء,جيد,data\clean\احمر\18.wav,0.9283125
16.wav,احمر,هيفاء,جيد,data\clean\احمر\16.wav,0.69175
14.wav,احمر,هيفاء,جيد,data\clean\احمر\14.wav,0.87275
17.wav,احمر,هيفاء,جيد,data\clean\احمر\17.wav,0.6361875
14.wav,اخضر,هيفاء,جيد,data\clean\اخضر\14.wav,0.770625
15.wav,اربعة,هيفاء,جيد,data\clean\اربعة\15.wav,0.8151875
19.wav,اربعة,هيفاء,جيد,data\clean\اربعة\19.wav,1.1690625
16.wav,اربعة,هيفاء,جيد,data\clean\اربعة\16.wav,0.5500625
18.wav,اربعة,هيفاء,جيد,data\clean\اربعة\18.wav,1.2179375
17.wav,اربعة,هيفاء,جيد,data\clean\اربعة\17.wav,0.40275
20.wav,اربعة,هيفاء,جيد,data\clean\اربعة\20.wav,0.5418125
15.wav,استاذة,هيفاء,جيد,data\clean\استاذة\15.wav,0.80975
16.wav,استاذة,هيفاء,جيد,data\clean\استاذة\16.wav,1.0353125
15.wav,اشرب,هيفاء,جيد,data\clean\اشرب\15.wav,0.897625
19.wav,اشرب,هيفاء,جيد,data\clean\اشرب\19.wav,0.91125
16.wav,اشرب,هيفاء,جيد,data\clean\اشرب\16.wav,0.9215
18.wav,اشرب,هيفاء,جيد,data\clean\اشرب\18.wav,1.2495
17.wav,اشرب,هيفاء,جيد,data\clean\اشرب\17.wav,0.49875
20.wav,اشرب,هيفاء,جيد,data\clean\اشرب\20.wav,0.545375
15.wav,اكل,هيفاء,جيد,data\clean\اكل\15.wav,0.7386875
19.wav,اكل,هيفاء,جيد,data\clean\اكل\19.wav,0.6281875
16.wav,اكل,هيفاء,جيد,data\clean\اكل\16.wav,0.6903125
18.wav,اكل,هيفاء,جيد,data\clean\اكل\18.wav,0.787
17.wav,اكل,هيفاء,جيد,data\clean\اكل\17.wav,0.738625
15.wav,باب,هيفاء,جيد,data\clean\باب\15.wav,0.5418125
19.wav,باب,هيفاء,جيد,data\clean\باب\19.wav,0.5485625
16.wav,باب,هيفاء,جيد,data\clean\باب\16.wav,0.336625
18.wav,باب,هيفاء,جيد,data\clean\باب\18.wav,0.348625
17.wav,باب,هيفاء,جيد,data\clean\باب\17.wav,0.4925625
20.wav,باب,هيفاء,جيد,data\clean\باب\20.wav,0.38075
15.wav,باص,هيفاء,جيد,data\clean\باص\15.wav,1.249625
19.wav,باص,هيفاء,جيد,data\clean\باص\19.wav,0.6646875
16.wav,باص,هيفاء,جيد,data\clean\باص\16.wav,0.95675
18.wav,باص,هيفاء,جيد,data\clean\باص\18.wav,0.55875
17.wav,باص,هيفاء,جيد,data\clean\باص\17.wav,0.6908125
20.wav,باص,هيفاء,جيد,data\clean\باص\20.wav,0.6414375
15.wav,بطة,هيفاء,جيد,data\clean\بطة\15.wav,0.82775
19.wav,بطة,هيفاء,جيد,data\clean\بطة\19.wav,0.679
16.wav,بطة,هيفاء,جيد,data\clean\بطة\16.wav,1.006375
18.wav,بطة,هيفاء,جيد,data\clean\بطة\18.wav,0.863125
17.wav,بطة,هيفاء,جيد,data\clean\بطة\17.wav,1.118
19.wav,بيت,هيفاء,جيد,data\clean\بيت\19.wav,0.688125
16.wav,بيت,هيفاء,جيد,data\clean\بيت\16.wav,0.837625
14.wav,بيت,هيفاء,جيد,data\clean\بيت\14.wav,0.5955625
18.wav,بيت,هيفاء,جيد,data\clean\بيت\18.wav,0.716
15.wav,تفاح,هيفاء,جيد,data\clean\تفاح\15.wav,0.4929375
19.wav,تفاح,هيفاء,جيد,data\clean\تفاح\19.wav,0.97325
16.wav,تفاح,هيفاء,جيد,data\clean\تفاح\16.wav,0.9149375
18.wav,تفاح,هيفاء,جيد,data\clean\تفاح\18.wav,0.764125
17.wav,تفاح,هيفاء,جيد,data\clean\تفاح\17.wav,0.9555
20.wav,تفاح,هيفاء,جيد,data\clean\تفاح\20.wav,0.799625
15.wav,تمر,هيفاء,جيد,data\clean\تمر\15.wav,0.84825
19.wav,تمر,هيفاء,جيد,data\clean\تمر\19.wav,0.9459375
16.wav,تمر,هيفاء,جيد,data\clean\تمر\16.wav,0.7679375
18.wav,تمر,هيفاء,جيد,data\clean\تمر\18.wav,0.617875
17.wav,تمر,هيفاء,جيد,data\clean\تمر\17.wav,0.788875
20.wav,تمر,هيفاء,جيد,data\clean\تمر\20.wav,0.8133125
19.wav,ثلاثة,هيفاء,جيد,data\clean\ثلاثة\19.wav,0.592125
17.wav,ثلاثة,هيفاء,جيد,data\clean\ثلاثة\17.wav,1.071
14.wav,ثلاثة,هيفاء,جيد,data\clean\ثلاثة\14.wav,0.658875
18.wav,ثلاثة,هيفاء,جيد,data\clean\ثلاثة\18.wav,0.806875
18.wav,ثوب,هيفاء,جيد,data\clean\ثوب\18.wav,0.4784375
16.wav,ثوب,هيفاء,جيد,data\clean\ثوب\16.wav,1.0436875
14.wav,ثوب,هيفاء,جيد,data\clean\ثوب\14.wav,0.3420625
17.wav,ثوب,هيفاء,جيد,data\clean\ثوب\17.wav,0.7411875
15.wav,جا,هيفاء,جيد,data\clean\جا\15.wav,0.6809375
19.wav,جا,هيفاء,جيد,data\clean\جا\19.wav,0.6760625
16.wav,جا,هيفاء,جيد,data\clean\جا\16.wav,0.5479375
18.wav,جا,هيفاء,جيد,data\clean\جا\18.wav,0.82375
17.wav,جا,هيفاء,جيد,data\clean\جا\17.wav,0.5223125
20.wav,جا,هيفاء,جيد,data\clean\جا\20.wav,0.868875
18.wav,جبل,هيفاء,جيد,data\clean\جبل\18.wav,1.0566875
16.wav,جبل,هيفاء,جيد,data\clean\جبل\16.wav,1.0331875
14.wav,جبل,هيفاء,جيد,data\clean\جبل\14.wav,0.9745
17.wav,جبل,هيفاء,جيد,data\clean\جبل\17.wav,1.174125
16.wav,حاسب,هيفاء,جيد,data\clean\حاسب\16.wav,0.6720625
014.wav,حاسب,هيفاء,جيد,data\clean\حاسب\014.wav,0.940875
18.wav,حاسب,هيفاء,جيد,data\clean\حاسب\18.wav,1.025125
016.wav,حاسب,هيفاء,جيد,data\clean\حاسب\016.wav,1.387125
20.wav,حاسب,هيفاء,جيد,data\clean\حاسب\20.wav,0.75625
15.wav,حاسب,هيفاء,جيد,data\clean\حاسب\15.wav,0.863
14.wav,حاسب,هيفاء,جيد,data\clean\حاسب\14.wav,0.8148125
17.wav,حاسب,هيفاء,جيد,data\clean\حاسب\17.wav,0.8423125
15.wav,حليب,هيفاء,جيد,data\clean\حليب\15.wav,0.8864375
19.wav,حليب,هيفاء,جيد,data\clean\حليب\19.wav,0.8805625
16.wav,حليب,هيفاء,جيد,data\clean\حليب\16.wav,1.0684375
18.wav,حليب,هيفاء,جيد,data\clean\حليب\18.wav,1.16825
17.wav,حليب,هيفاء,جيد,data\clean\حليب\17.wav,1.1036875
17.wav,خروف,هيفاء,جيد,data\clean\خروف\17.wav,1.0684375
14.wav,خروف,هيفاء,جيد,data\clean\خروف\14.wav,1.27975
16.wav,خروف,هيفاء,جيد,data\clean\خروف\16.wav,1.1154375
15.wav,خلاص,هيفاء,جيد,data\clean\خلاص\15.wav,0.96275
19.wav,خلاص,هيفاء,جيد,data\clean\خلاص\19.wav,1.0919375
16.wav,خلاص,هيفاء,جيد,data\clean\خلاص\16.wav,0.857125
18.wav,خلاص,هيفاء,جيد,data\clean\خلاص\18.wav,1.133
17.wav,خلاص,هيفاء,جيد,data\clean\خلاص\17.wav,0.8805625
15.wav,دجاج,هيفاء,جيد,data\clean\دجاج\15.wav,0.8275
19.wav,دجاج,هيفاء,جيد,data\clean\دجاج\19.wav,0.856625
