filename,word,speaker,quality,file_path,duration
34.wav,بيض,وسام,متوسط,data\clean\بيض\34.wav,0.901
29.wav,بيض,وسام,متوسط,data\clean\بيض\29.wav,1.1114375
36.wav,بيض,وسام,متوسط,data\clean\بيض\36.wav,0.691625
31.wav,بيض,وسام,متوسط,data\clean\بيض\31.wav,1.1144375
33.wav,بيض,وسام,متوسط,data\clean\بيض\33.wav,1.4428125
32.wav,بيض,وسام,متوسط,data\clean\بيض\32.wav,1.1451875
35.wav,بيض,وسام,متوسط,data\clean\بيض\35.wav,1.20475
34.wav,جوع,وسام,متوسط,data\clean\جوع\34.wav,1.0421875
29.wav,جوع,وسام,متوسط,data\clean\جوع\29.wav,1.0934375
36.wav,جوع,وسام,متوسط,data\clean\جوع\36.wav,1.0006875
31.wav,جوع,وسام,متوسط,data\clean\جوع\31.wav,1.1544375
33.wav,جوع,وسام,متوسط,data\clean\جوع\33.wav,1.03975
32.wav,جوع,وسام,متوسط,data\clean\جوع\32.wav,1.0006875
35.wav,جوع,وسام,متوسط,data\clean\جوع\35.wav,1.10075
34.wav,حافظ,وسام,متوسط,data\clean\حافظ\34.wav,1.2105625
29.wav,حافظ,وسام,متوسط,data\clean\حافظ\29.wav,0.8810625
36.wav,حافظ,وسام,متوسط,data\clean\حافظ\36.wav,1.2740625
31.wav,حافظ,وسام,متوسط,data\clean\حافظ\31.wav,1.230125
33.wav,حافظ,وسام,متوسط,data\clean\حافظ\33.wav,1.0665625
32.wav,حافظ,وسام,متوسط,data\clean\حافظ\32.wav,1.0836875
35.wav,حافظ,وسام,متوسط,data\clean\حافظ\35.wav,1.2276875
34.wav,خروف,وسام,متوسط,data\clean\خروف\34.wav,1.0355
29.wav,خروف,وسام,متوسط,data\clean\خروف\29.wav,0.788375
36.wav,خروف,وسام,متوسط,data\clean\خروف\36.wav,1.23225
31.wav,خروف,وسام,متوسط,data\clean\خروف\31.wav,1.028625
33.wav,خروف,وسام,متوسط,data\clean\خروف\33.wav,1.1010625
32.wav,خروف,وسام,متوسط,data\clean\خروف\32.wav,1.0769375
35.wav,خروف,وسام,متوسط,data\clean\خروف\35.wav,0.9665
29.wav,خلاص,وسام,متوسط,data\clean\خلاص\29.wav,0.5556875
34.wav,سمك,وسام,متوسط,data\clean\سمك\34.wav,1.05275
29.wav,سمك,وسام,متوسط,data\clean\سمك\29.wav,0.742125
36.wav,سمك,وسام,متوسط,data\clean\سمك\36.wav,0.704125
31.wav,سمك,وسام,متوسط,data\clean\سمك\31.wav,0.686875
33.wav,سمك,وسام,متوسط,data\clean\سمك\33.wav,0.7559375
