filename,word,speaker,quality,file_path,duration
17.wav,اثنين,هيفاء,جيد,data\clean\اثنين\17.wav,0.7029375
18.wav,اثنين,هيفاء,جيد,data\clean\اثنين\18.wav,0.659
19.wav,اثنين,هيفاء,جيد,data\clean\اثنين\19.wav,0.56625
20.wav,اثنين,هيفاء,جيد,data\clean\اثنين\20.wav,0.6150625
16.wav,اثنين,هيفاء,جيد,data\clean\اثنين\16.wav,0.785875
14.wav,احمر,هيفاء,جيد,data\clean\احمر\14.wav,0.87275
17.wav,احمر,هيفاء,جيد,data\clean\احمر\17.wav,0.6361875
16.wav,احمر,هيفاء,جيد,data\clean\احمر\16.wav,0.69175
15.wav,احمر,هيفاء,جيد,data\clean\احمر\15.wav,0.4444375
14.wav,اخضر,هيفاء,جيد,data\clean\اخضر\14.wav,0.770625
17.wav,اربعة,هيفاء,جيد,data\clean\اربعة\17.wav,0.40275
18.wav,اربعة,هيفاء,جيد,data\clean\اربعة\18.wav,1.2179375
19.wav,اربعة,هيفاء,جيد,data\clean\اربعة\19.wav,1.1690625
14.wav,اربعة,هيفاء,جيد,data\clean\اربعة\14.wav,0.9909375
16.wav,اربعة,هيفاء,جيد,data\clean\اربعة\16.wav,0.5500625
15.wav,استاذة,هيفاء,جيد,data\clean\استاذة\15.wav,0.80975
14.wav,استاذة,هيفاء,جيد,data\clean\استاذة\14.wav,1.3293125
17.wav,اشرب,هيفاء,جيد,data\clean\اشرب\17.wav,0.49875
18.wav,اشرب,هيفاء,جيد,data\clean\اشرب\18.wav,1.2495
19.wav,اشرب,هيفاء,جيد,data\clean\اشرب\19.wav,0.91125
14.wav,اشرب,هيفاء,جيد,data\clean\اشرب\14.wav,0.79325
16.wav,اشرب,هيفاء,جيد,data\clean\اشرب\16.wav,0.9215
19.wav,اكل,هيفاء,جيد,data\clean\اكل\19.wav,0.6281875
16.wav,اكل,هيفاء,جيد,data\clean\اكل\16.wav,0.6903125
17.wav,اكل,هيفاء,جيد,data\clean\اكل\17.wav,0.738625
14.wav,اكل,هيفاء,جيد,data\clean\اكل\14.wav,0.8456875
17.wav,باب,هيفاء,جيد,data\clean\باب\17.wav,0.4925625
18.wav,باب,هيفاء,جيد,data\clean\باب\18.wav,0.348625
19.wav,باب,هيفاء,جيد,data\clean\باب\19.wav,0.5485625
14.wav,باب,هيفاء,جيد,data\clean\باب\14.wav,0.7141875
16.wav,باب,هيفاء,جيد,data\clean\باب\16.wav,0.336625
19.wav,باص,هيفاء,جيد,data\clean\باص\19.wav,0.6646875
18.wav,باص,هيفاء,جيد,data\clean\باص\18.wav,0.55875
17.wav,باص,هيفاء,جيد,data\clean\باص\17.wav,0.6908125
15.wav,باص,هيفاء,جيد,data\clean\باص\15.wav,1.249625
14.wav,باص,هيفاء,جيد,data\clean\باص\14.wav,0.8200625
14.wav,بطة,هيفاء,جيد,data\clean\بطة\14.wav,0.80175
15.wav,بطة,هيفاء,جيد,data\clean\بطة\15.wav,0.82775
17.wav,بطة,هيفاء,جيد,data\clean\بطة\17.wav,1.118
19.wav,بطة,هيفاء,جيد,data\clean\بطة\19.wav,0.679
14.wav,بيت,هيفاء,جيد,data\clean\بيت\14.wav,0.5955625
15.wav,بيت,هيفاء,جيد,data\clean\بيت\15.wav,0.8249375
18.wav,بيت,هيفاء,جيد,data\clean\بيت\18.wav,0.716
19.wav,بيت,هيفاء,جيد,data\clean\بيت\19.wav,0.688125
18.wav,تفاح,هيفاء,جيد,data\clean\تفاح\18.wav,0.764125
15.wav,تفاح,هيفاء,جيد,data\clean\تفاح\15.wav,0.4929375
17.wav,تفاح,هيفاء,جيد,data\clean\تفاح\17.wav,0.9555
16.wav,تفاح,هيفاء,جيد,data\clean\تفاح\16.wav,0.9149375
14.wav,تفاح,هيفاء,جيد,data\clean\تفاح\14.wav,0.946625
14.wav,تمر,هيفاء,جيد,data\clean\تمر\14.wav,0.939
20.wav,تمر,هيفاء,جيد,data\clean\تمر\20.wav,0.8133125
17.wav,تمر,هيفاء,جيد,data\clean\تمر\17.wav,0.788875
18.wav,تمر,هيفاء,جيد,data\clean\تمر\18.wav,0.617875
15.wav,تمر,هيفاء,جيد,data\clean\تمر\15.wav,0.84825
18.wav,ثلاثة,هيفاء,جيد,data\clean\ثلاثة\18.wav,0.806875
14.wav,ثلاثة,هيفاء,جيد,data\clean\ثلاثة\14.wav,0.658875
15.wav,ثلاثة,هيفاء,جيد,data\clean\ثلاثة\15.wav,0.7691875
17.wav,ثلاثة,هيفاء,جيد,data\clean\ثلاثة\17.wav,1.071
14.wav,ثوب,هيفاء,جيد,data\clean\ثوب\14.wav,0.3420625
17.wav,ثوب,هيفاء,جيد,data\clean\ثوب\17.wav,0.7411875
16.wav,ثوب,هيفاء,جيد,data\clean\ثوب\16.wav,1.0436875
15.wav,ثوب,هيفاء,جيد,data\clean\ثوب\15.wav,0.7330625
18.wav,جا,هيفاء,جيد,data\clean\جا\18.wav,0.82375
15.wav,جا,هيفاء,جيد,data\clean\جا\15.wav,0.6809375
17.wav,جا,هيفاء,جيد,data\clean\جا\17.wav,0.5223125
20.wav,جا,هيفاء,جيد,data\clean\جا\20.wav,0.868875
19.wav,جا,هيفاء,جيد,data\clean\جا\19.wav,0.6760625
15.wav,جبل,هيفاء,جيد,data\clean\جبل\15.wav,0.469625
17.wav,جبل,هيفاء,جيد,data\clean\جبل\17.wav,1.174125
18.wav,جبل,هيفاء,جيد,data\clean\جبل\18.wav,1.0566875
16.wav,جبل,هيفاء,جيد,data\clean\جبل\16.wav,1.0331875
14.wav,حاسب,هيفاء,جيد,data\clean\حاسب\14.wav,0.8148125
015.wav,حاسب,هيفاء,جيد,data\clean\حاسب\015.wav,0.9121875
016.wav,حاسب,هيفاء,جيد,data\clean\حاسب\016.wav,1.387125
19.wav,حاسب,هيفاء,جيد,data\clean\حاسب\19.wav,0.9910625
15.wav,حاسب,هيفاء,جيد,data\clean\حاسب\15.wav,0.863
16.wav,حاسب,هيفاء,جيد,data\clean\حاسب\16.wav,0.6720625
17.wav,حاسب,هيفاء,جيد,data\clean\حاسب\17.wav,0.8423125
18.wav,حليب,هيفاء,جيد,data\clean\حليب\18.wav,1.16825
15.wav,حليب,هيفاء,جيد,data\clean\حليب\15.wav,0.8864375
19.wav,حليب,هيفاء,جيد,data\clean\حليب\19.wav,0.8805625
14.wav,حليب,هيفاء,جيد,data\clean\حليب\14.wav,0.9510625
14.wav,خروف,هيفاء,جيد,data\clean\خروف\14.wav,1.27975
16.wav,خروف,هيفاء,جيد,data\clean\خروف\16.wav,1.1154375
15.wav,خروف,هيفاء,جيد,data\clean\خروف\15.wav,1.1036875
15.wav,خلاص,هيفاء,جيد,data\clean\خلاص\15.wav,0.96275
18.wav,خلاص,هيفاء,جيد,data\clean\خلاص\18.wav,1.133
16.wav,خلاص,هيفاء,جيد,data\clean\خلاص\16.wav,0.857125
19.wav,خلاص,هيفاء,جيد,data\clean\خلاص\19.wav,1.0919375
18.wav,دجاج,هيفاء,جيد,data\clean\دجاج\18.wav,1.1100625
17.wav,دجاج,هيفاء,جيد,data\clean\دجاج\17.wav,1.1189375
19.wav,دجاج,هيفاء,جيد,data\clean\دجاج\19.wav,0.856625
20.wav,دجاج,هيفاء,جيد,data\clean\دجاج\20.wav,0.9111875
16.wav,دجاج,هيفاء,جيد,data\clean\دجاج\16.wav,0.928875
19.wav,ذيب,هيفاء,جيد,data\clean\ذيب\19.wav,1.00975
16.wav,ذيب,هيفاء,جيد,data\clean\ذيب\16.wav,1.4148125
17.wav,ذيب,هيفاء,جيد,data\clean\ذيب\17.wav,1.19175
15.wav,ذيب,هيفاء,جيد,data\clean\ذيب\15.wav,1.3678125
14.wav,راح,هيفاء,جيد,data\clean\راح\14.wav,1.2008125
15.wav,راح,هيفاء,جيد,data\clean\راح\15.wav,1.213
18.wav,راح,هيفاء,جيد,data\clean\راح\18.wav,0.9066875
14.wav,راس,هيفاء,جيد,data\clean\راس\14.wav,0.9745
18.wav,راس,هيفاء,جيد,data\clean\راس\18.wav,0.663375
16.wav,راس,هيفاء,جيد,data\clean\راس\16.wav,0.9745
17.wav,راس,هيفاء,جيد,data\clean\راس\17.wav,0.774875
17.wav,رز,هيفاء,جيد,data\clean\رز\17.wav,0.3801875
14.wav,رز,هيفاء,جيد,data\clean\رز\14.wav,0.415625
19.wav,رز,هيفاء,جيد,data\clean\رز\19.wav,0.452375
20.wav,رز,هيفاء,جيد,data\clean\رز\20.wav,0.690625
16.wav,رز,هيفاء,جيد,data\clean\رز\16.wav,0.6184375
20.wav,زيت,هيفاء,جيد,data\clean\زيت\20.wav,0.833625
17.wav,زيت,هيفاء,جيد,data\clean\زيت\17.wav,0.7925
