filename,word,speaker,quality,file_path,duration
15.wav,اثنين,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\15.wav,0.366125
19.wav,اثنين,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\19.wav,0.56625
16.wav,اثنين,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\16.wav,0.785875
18.wav,اثنين,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\18.wav,0.659
17.wav,اثنين,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\17.wav,0.7029375
20.wav,اثنين,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\20.wav,0.6150625
18.wav,احمر,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\18.wav,0.9283125
16.wav,احمر,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\16.wav,0.69175
14.wav,احمر,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\14.wav,0.87275
17.wav,احمر,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\احمر\17.wav,0.6361875
14.wav,اخضر,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اخضر\14.wav,0.770625
15.wav,اربعة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اربعة\15.wav,0.8151875
19.wav,اربعة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اربعة\19.wav,1.1690625
16.wav,اربعة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اربعة\16.wav,0.5500625
18.wav,اربعة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اربعة\18.wav,1.2179375
17.wav,اربعة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اربعة\17.wav,0.40275
20.wav,اربعة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اربعة\20.wav,0.5418125
15.wav,استاذة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\استاذة\15.wav,0.80975
16.wav,استاذة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\استاذة\16.wav,1.0353125
15.wav,اشرب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اشرب\15.wav,0.897625
19.wav,اشرب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اشرب\19.wav,0.91125
16.wav,اشرب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اشرب\16.wav,0.9215
18.wav,اشرب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اشرب\18.wav,1.2495
17.wav,اشرب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اشرب\17.wav,0.49875
20.wav,اشرب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اشرب\20.wav,0.545375
15.wav,اكل,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اكل\15.wav,0.7386875
19.wav,اكل,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اكل\19.wav,0.6281875
16.wav,اكل,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اكل\16.wav,0.6903125
18.wav,اكل,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اكل\18.wav,0.787
17.wav,اكل,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اكل\17.wav,0.738625
14.wav,السلام عليكم,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\السلام عليكم\14.wav,0.97625
15.wav,باب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باب\15.wav,0.5418125
19.wav,باب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باب\19.wav,0.5485625
16.wav,باب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باب\16.wav,0.336625
18.wav,باب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باب\18.wav,0.348625
17.wav,باب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باب\17.wav,0.4925625
20.wav,باب,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باب\20.wav,0.38075
15.wav,باص,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باص\15.wav,1.249625
19.wav,باص,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باص\19.wav,0.6646875
16.wav,باص,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باص\16.wav,0.95675
18.wav,باص,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باص\18.wav,0.55875
17.wav,باص,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باص\17.wav,0.6908125
20.wav,باص,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\باص\20.wav,0.6414375
15.wav,بطة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\بطة\15.wav,0.82775
19.wav,بطة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\بطة\19.wav,0.679
16.wav,بطة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\بطة\16.wav,1.006375
18.wav,بطة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\بطة\18.wav,0.863125
17.wav,بطة,Haifa,good,C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\بطة\17.wav,1.118
