file_path,word,speaker,session_id,mfcc_0_mean,mfcc_0_std,mfcc_0_max,mfcc_0_min,mfcc_1_mean,mfcc_1_std,mfcc_1_max,mfcc_1_min,mfcc_2_mean,mfcc_2_std,mfcc_2_max,mfcc_2_min,mfcc_3_mean,mfcc_3_std,mfcc_3_max,mfcc_3_min,mfcc_4_mean,mfcc_4_std,mfcc_4_max,mfcc_4_min,mfcc_5_mean,mfcc_5_std,mfcc_5_max,mfcc_5_min,mfcc_6_mean,mfcc_6_std,mfcc_6_max,mfcc_6_min,mfcc_7_mean,mfcc_7_std,mfcc_7_max,mfcc_7_min,mfcc_delta_0_mean,mfcc_delta_0_std,mfcc_delta_1_mean,mfcc_delta_1_std,mfcc_delta_2_mean,mfcc_delta_2_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_rolloff_mean,mel_0_mean,mel_1_mean,mel_2_mean,mel_3_mean,mel_4_mean,f0_mean,f0_std,f0_range,voicing_ratio,rms_mean,rms_std,zcr_mean,signal_mean,signal_std,signal_max,duration,word_length,difficult_chars_count,word_difficulty_ratio,speaker_encoded
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\0.wav,اثنين,أحمد,أحمد_اثنين,-242.78287,122.625595,-95.07576,-492.914,68.08683,31.41494,115.34953,-3.8858929,-26.19608,32.428734,41.26802,-78.57498,74.80744,33.390114,112.8006,-1.2703047,-22.68725,23.691565,18.293068,-65.81015,-0.67380106,9.370905,20.533943,-14.447659,-7.9606643,8.802859,5.7184253,-25.789001,-27.853872,15.8511095,3.607977,-51.75841,0.5013196,30.060703,-0.0073086875,6.948732,-0.20117031,7.40998,2192.9349624314946,1163.1130273313486,1796.0506172680941,4223.968505859375,10.329965,-0.116149224,-16.266819,-15.194802,-14.649394,273.83344649777194,19.86429631384432,91.71248170997694,1.0,0.25147492,0.15054587,0.13070242745535715,-1.4868773e-06,0.29653665,1.0,0.6351473922902494,5,1,0.2,1
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\1.wav,اثنين,أحمد,أحمد_اثنين,-301.25247,134.46141,-162.34639,-571.1372,42.95695,33.58091,116.159,-24.193707,-38.753036,36.116955,26.512123,-89.3864,71.90935,34.051968,112.28441,-0.3504807,-45.819595,24.837362,16.018509,-76.14037,2.0447083,16.323116,34.41426,-22.556255,-10.112253,12.200709,7.998801,-39.333096,-28.09907,16.805828,1.0138139,-49.538303,-2.9555779,30.418463,-2.64329,5.937491,0.7554063,6.45142,3108.483248754974,996.8830311615188,1787.1190376049797,4918.318176269531,-0.069735885,-9.93651,-19.162197,-20.891079,-20.182152,211.99007314579202,86.83462376079933,251.82565109694679,1.0,0.1417243,0.119048074,0.2069854736328125,-3.517278e-06,0.18679054,1.0,0.7295691609977324,5,1,0.2,1
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\10.wav,اثنين,عاصم,عاصم_اثنين,-316.49228,167.22688,-85.742615,-526.3692,44.74077,49.9345,119.73952,-57.70243,-36.3631,72.67172,58.196762,-157.26215,6.5829997,15.455491,46.915054,-49.011925,-34.979332,40.22582,17.169,-99.10704,0.73773456,19.397678,37.1985,-36.633873,-37.11105,27.167795,5.8340387,-77.288185,1.0270942,14.604739,29.392637,-25.77111,-2.5625546,28.221209,0.17532107,12.009532,-0.7673126,11.673324,2946.841646023029,1797.927241431573,1860.347414078232,4769.6044921875,-11.545626,-12.838737,-18.209366,-20.296295,-22.932322,189.9903177772431,92.08663989229306,251.70494764838554,1.0,0.10978002,0.12049752,0.22755097179878048,-5.982934e-06,0.16359746,0.94340533,0.9451700680272109,5,1,0.2,2
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\11.wav,اثنين,عاصم,عاصم_اثنين,-282.4365,119.917496,-143.15343,-516.069,29.731941,42.57106,97.0728,-56.77511,-66.758736,58.26513,11.332584,-171.50415,8.124319,19.556303,66.10756,-20.81963,-47.609264,32.113228,2.5401545,-91.28053,-10.251342,16.94189,30.300146,-40.279007,-39.012505,22.73087,-0.12992702,-72.1556,-0.27828977,22.047705,53.475075,-39.736244,-5.48562,18.437624,0.50468785,10.130093,1.3206941,8.883088,2826.136995554094,1433.7151925745611,1845.253495110821,4788.9404296875,-18.714575,-4.1429744,-8.695799,-15.426294,-16.14685,204.34388533303877,81.23897795435603,250.06869798539148,1.0,0.13200563,0.13306536,0.1907585299744898,-5.6794744e-07,0.18747349,1.0,1.1373242630385487,5,1,0.2,2
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\12.wav,اثنين,عاصم,عاصم_اثنين,-349.79025,149.63208,-86.126,-553.48456,36.193295,43.42424,124.3689,-32.46973,-46.267445,55.695496,34.317368,-144.84294,12.752162,23.843239,62.968647,-30.003696,-44.987904,40.514236,3.1728275,-106.44038,0.36554894,24.090899,67.27773,-42.27558,-30.636696,28.251184,3.4009705,-77.25929,-15.068634,16.655382,5.2412086,-50.669807,-6.0038257,23.640787,-1.9711183,10.540967,-0.09067575,10.3716345,3361.5034080810924,1628.224053738654,1853.4399446077048,5396.3104248046875,-19.794981,-17.722914,-21.568632,-24.24569,-25.354662,193.58019704047652,89.46631206339144,251.61133902980882,1.0,0.07071633,0.10105791,0.278167724609375,7.583046e-07,0.123693414,1.0,1.1084807256235827,5,1,0.2,2
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\14.wav,اثنين,هيفاء,هيفاء_اثنين,-318.1638,180.12617,-66.78527,-516.055,61.802425,54.89075,139.92844,-5.064945,-14.277575,24.924675,27.689095,-61.29367,14.627714,20.390823,63.35337,-7.999677,-33.076035,29.638952,0.6715656,-84.3914,-9.099294,19.40981,9.255251,-54.002827,-35.514297,28.897997,-1.2589467,-73.04829,4.859242,15.196049,31.097433,-25.953077,1.1076201,44.37962,-0.04832341,14.373018,0.12486876,5.6799254,3220.267101839971,1766.8271216316816,2015.558067661431,5501.7333984375,-15.523224,-14.384867,-20.446554,-27.770445,-29.904306,204.0015874668498,82.40649545836288,230.56336172141343,1.0,0.12812892,0.15337573,0.26230093149038464,-3.0157713e-05,0.20289336,0.93858325,0.5857596371882087,5,1,0.2,3
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\15.wav,اثنين,هيفاء,هيفاء_اثنين,-273.25104,176.21725,-52.775955,-518.47406,85.659904,47.16508,128.14612,-3.761909,-11.918393,38.81068,50.413467,-75.08142,11.376497,11.162354,34.027267,-3.9979234,-36.23912,26.807693,1.2780151,-75.3181,-6.4650445,11.696901,8.033358,-29.854921,-43.227615,26.473886,-0.9264845,-72.884766,6.1485434,10.853075,25.24617,-19.023174,19.544167,47.19922,6.732755,9.232071,-2.2698615,9.667238,2465.213865779947,1428.1474950899142,2124.825966391403,4828.82080078125,-4.2240644,-5.3647175,-11.428486,-20.785791,-24.693573,245.20221558608392,52.879344384514205,244.01335540143145,1.0,0.1674335,0.15543945,0.1649169921875,-6.8380185e-05,0.23012681,0.9511119,0.3661678004535147,5,1,0.2,3
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\16.wav,اثنين,هيفاء,هيفاء_اثنين,-293.45905,169.41394,-63.871326,-544.89325,64.88739,41.04811,124.55651,-0.007873799,-37.142975,45.005615,26.604008,-120.97284,15.463312,39.566906,85.96115,-66.730576,-66.62118,46.74041,9.162188,-134.65434,-18.765127,18.14159,5.0481253,-46.529053,-29.366121,29.027975,11.156892,-81.85585,-3.6772075,10.724354,26.641083,-19.340261,-0.73259634,33.92383,-1.0357409,11.118282,-0.48439762,8.470472,2647.8276821713466,1456.8329985177797,1861.3444760602135,4588.155589384191,-12.522499,-6.904728,-9.514801,-18.258083,-25.922115,177.4269074745626,78.79465488689341,250.17889931754613,1.0,0.109096974,0.10394961,0.19315831801470587,-6.4764045e-06,0.15103374,1.0,0.7858956916099773,5,1,0.2,3
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\17.wav,اثنين,هيفاء,هيفاء_اثنين,-294.1691,140.22142,-121.89806,-556.2542,86.17935,45.483356,160.58127,-0.5062527,-34.82419,38.993263,16.991737,-105.5367,-6.5180483,15.945768,23.749065,-41.986435,-46.044044,21.223202,0.12309017,-71.392395,-2.5198119,14.334232,26.986418,-31.64426,-50.88178,26.687214,0.0,-89.97052,-2.9652495,11.557008,13.550594,-23.486822,-2.463346,33.519527,1.7958313,12.514428,2.3785417,8.660352,2277.9031976016445,1215.5543742650063,1891.7088722348947,4195.501512096775,-7.600154,-2.8958054,-10.0789,-14.7700405,-19.51243,228.8789312987738,76.39530677695207,249.0317491383728,1.0,0.10241335,0.10350656,0.14163306451612903,-1.3788592e-06,0.14734638,1.0,0.7029478458049887,5,1,0.2,3
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اثنين\18.wav,اثنين,هيفاء,هيفاء_اثنين,-196.17215,141.35469,-58.473476,-522.25226,82.78152,36.871326,130.03415,-8.496885,-47.817432,33.1511,26.122185,-100.044304,19.987263,16.591278,45.18426,-5.6480594,-56.00628,26.281322,-0.6341896,-96.72828,-10.85389,10.7989235,7.1770697,-26.87701,-49.661125,31.957146,-4.47091,-100.74078,8.838799,9.616643,21.954891,-12.600237,4.8293886,33.81392,0.87391955,8.225714,-1.6331371,6.690295,2549.5927626909265,1113.6536134453431,1969.5076688993718,4689.411873653017,0.5792366,1.5544094,-4.424203,-10.789702,-14.520082,249.80104797722692,63.03431008814173,233.3523357670481,1.0,0.15352571,0.13648348,0.18297077047413793,-2.9398163e-06,0.20764995,1.0,0.6590022675736962,5,1,0.2,3
