Category,Model,Accuracy,Accuracy_Percent
Speaker_أحمد,Random_Forest,0.4444,44.44%
Speaker_أحمد,Extra_Trees,0.4306,43.06%
Speaker_أحمد,Gradient_Boosting,0.1944,19.44%
Speaker_أحمد,SVM_RBF,0.1181,11.81%
Speaker_أحمد,Logistic_Regression,0.4236,42.36%
Speaker_عاصم,Random_Forest,0.6500,65.00%
Speaker_عاصم,Extra_Trees,0.6500,65.00%
Speaker_عاصم,Gradient_Boosting,0.2500,25.00%
Speaker_عاصم,SVM_RBF,0.6000,60.00%
Speaker_عاصم,Logistic_Regression,0.7000,70.00%
Speaker_أسيل,Random_Forest,0.4953,49.53%
Speaker_أسيل,Extra_Trees,0.5421,54.21%
Speaker_أسيل,Gradient_Boosting,0.2336,23.36%
Speaker_أسيل,SVM_RBF,0.2897,28.97%
Speaker_أسيل,Logistic_Regression,0.5888,58.88%
Speaker_هيفاء,Random_Forest,0.3860,38.60%
Speaker_هيفاء,Extra_Trees,0.3947,39.47%
Speaker_هيفاء,Gradient_Boosting,0.1754,17.54%
Speaker_هيفاء,SVM_RBF,0.2982,29.82%
Speaker_هيفاء,Logistic_Regression,0.3860,38.60%
Speaker_وسام,Random_Forest,0.4528,45.28%
Speaker_وسام,Extra_Trees,0.4340,43.40%
Speaker_وسام,Gradient_Boosting,0.2830,28.30%
Speaker_وسام,SVM_RBF,0.3585,35.85%
Speaker_وسام,Logistic_Regression,0.5472,54.72%
Global_Models,Global_Random_Forest,0.3973,39.73%
Global_Models,Global_Extra_Trees,0.4498,44.98%
Global_Models,Global_Gradient_Boosting,0.1598,15.98%
Global_Models,Global_SVM,0.2854,28.54%
Global_Models,Global_Logistic_Regression,0.3653,36.53%
