iter	MultiClass
0	2.285883487
1	2.26244104
2	2.237900176
3	2.215276103
4	2.191656164
5	2.167571976
6	2.141568183
7	2.116374741
8	2.094236949
9	2.066847618
10	2.045164559
11	2.023021454
12	1.998613412
13	1.977330213
14	1.956560028
15	1.935235776
16	1.916587885
17	1.895788204
18	1.875845736
19	1.85422283
20	1.83644203
21	1.81691538
22	1.793537525
23	1.778340687
24	1.757470252
25	1.737045416
26	1.719355569
27	1.698224261
28	1.682094383
29	1.667810924
30	1.652090004
31	1.636202521
32	1.618050602
33	1.597339309
34	1.580380217
35	1.56056019
36	1.540517078
37	1.521083366
38	1.507106069
39	1.492566248
40	1.472287032
41	1.455516164
42	1.43798722
43	1.423295726
44	1.405154914
45	1.387386006
46	1.370762365
47	1.353775579
48	1.339056191
49	1.327360305
50	1.315045056
51	1.298993402
52	1.284765841
53	1.271558309
54	1.254164134
55	1.23839353
56	1.225281847
57	1.211451277
58	1.20012184
59	1.187743953
60	1.171927782
61	1.156842815
62	1.146048571
63	1.137450654
64	1.121789159
65	1.107523675
66	1.096623897
67	1.085624292
68	1.069706745
69	1.055672643
70	1.048138907
71	1.038128217
72	1.024173431
73	1.012891801
74	0.9992938314
75	0.986725196
76	0.9751984514
77	0.9630803583
78	0.9550607695
79	0.9481587545
80	0.9366978193
81	0.9236122733
82	0.9145214875
83	0.9020680385
84	0.8888443134
85	0.8805487215
86	0.8688739013
87	0.8601509994
88	0.8483765265
89	0.8377900195
90	0.8279961428
91	0.8180935693
92	0.8084782796
93	0.8015522633
94	0.7915948211
95	0.7804962161
96	0.7740975336
97	0.7639267429
98	0.7582363715
99	0.7492779181
