iter	Passed	Remaining
0	542	53734
1	819	40177
2	1127	36445
3	1417	34015
4	1650	31360
5	1922	30124
6	2147	28535
7	2376	27326
8	2573	26021
9	2829	25462
10	3072	24859
11	3328	24407
12	3570	23898
13	3904	23981
14	4169	23625
15	4426	23240
16	4710	22999
17	4985	22712
18	5272	22477
19	5522	22088
20	5770	21707
21	6009	21305
22	6292	21065
23	6561	20776
24	6739	20219
25	6935	19739
26	7113	19232
27	7358	18920
28	7647	18723
29	7911	18461
30	8239	18338
31	8494	18051
32	8749	17765
33	8996	17463
34	9228	17139
35	9463	16823
36	9685	16491
37	9905	16161
38	10143	15865
39	10344	15516
40	10562	15199
41	10775	14880
42	11009	14594
43	11246	14313
44	11485	14038
45	11722	13760
46	11930	13453
47	12190	13206
48	12409	12916
49	12629	12629
50	12859	12355
51	13082	12076
52	13323	11815
53	13569	11559
54	13816	11304
55	14059	11046
56	14293	10782
57	14502	10502
58	14737	10240
59	15011	10007
60	15175	9702
61	15429	9456
62	15661	9198
63	15894	8940
64	16113	8676
65	16365	8430
66	16605	8178
67	16832	7921
68	17038	7654
69	17292	7411
70	17505	7149
71	17720	6891
72	17935	6633
73	18221	6402
74	18487	6162
75	18661	5893
76	18803	5616
77	18949	5344
78	19123	5083
79	19340	4835
80	19572	4590
81	19804	4347
82	20020	4100
83	20232	3853
84	20444	3607
85	20673	3365
86	20868	3118
87	21099	2877
88	21310	2633
89	21532	2392
90	21794	2155
91	22023	1915
92	22264	1675
93	22462	1433
94	22702	1194
95	22942	955
96	23212	717
97	23439	478
98	23675	239
99	23941	0
